id,pair_id,statement_type,text,metaphor,analogy,simile,personification,literal,difficulty,domain,notes
1,1,figurative,"The project was on life support. After months of setbacks, the team finally pulled the plug.",true,false,false,false,false,medium,business,"Extended metaphor - medical to business context"
1b,1,literal,"The patient was on life support. After months in the hospital, the family finally pulled the plug from the machine.",false,false,false,false,true,easy,medical,"Literal medical context - actual life support"
2,2,figurative,"John walked into the interview with confidence. He was a lion entering his territory, ready to claim what was rightfully his.",true,false,false,false,false,medium,business,"Metaphor - person as lion"
2b,2,literal,"John walked into the zoo exhibit with caution. A lion was entering its territory, ready to claim the space that was rightfully its.",false,false,false,false,true,easy,nature,"Literal - actual lion in its territory"
3,3,figurative,"The old library was a treasure chest of knowledge. Books lined the walls like precious gems, each one containing worlds waiting to be discovered.",true,false,true,false,false,medium,education,"Extended metaphor with simile - library as treasure"
3b,3,literal,"The old attic contained a treasure chest from the estate sale. Jewelry lined the compartments with precious gems, each piece carefully wrapped and waiting to be appraised.",false,false,true,false,true,easy,everyday,"Literal - actual treasure chest with gems"
4,4,figurative,"The news hit her hard. She stood frozen, like a statue in the town square, unable to process what she had just heard.",false,false,true,false,false,medium,everyday,"Simile - person as statue"
4b,4,literal,"The ball hit her hard during practice. She stood there for a moment, starting at a statue, before shaking her head and continuing the game.",false,false,true,false,true,easy,sports,"Literal - physical impact, brief stillness"
5,5,figurative,"The company's stock plummeted overnight. Investors watched in horror as years of growth evaporated into thin air.",false,false,false,true,false,medium,business,"Personification - growth evaporating"
5b,5,literal,"The puddle on the sidewalk disappeared overnight. Pedestrians watched as the water evaporated in the morning sun.",false,false,false,false,true,easy,science,"Literal - actual evaporation of water"
6,6,figurative,"The garden had been neglected for years. Weeds had declared victory and now ruled over their conquered territory with thorny authority.",false,false,false,true,false,medium,nature,"Personification - weeds as conquerors"
6b,6,literal,"The garden had been neglected for years. Weeds had spread throughout and now covered the ground with thorny stems.",false,false,false,false,true,easy,nature,"Literal - weeds physically covering area"
7,7,figurative,"The words hung in the air between them. Neither wanted to reach out and grab them, afraid of what might happen if they acknowledged the truth.",true,false,false,false,false,medium,communication,"Metaphor - words as physical objects"
7b,7,literal,"The banner hung in the air between them, suspended by wires. Neither wanted to reach out and grab it, afraid they might tear the delicate fabric.",false,false,false,false,true,easy,everyday,"Literal - physical object hanging in air"
8,8,figurative,"The deadline approached with relentless determination. Each tick of the clock was a footstep drawing nearer, hunting her down.",false,false,false,true,false,hard,work,"Personification - deadline as hunter"
8b,8,literal,"The footsteps approached with relentless determination. Each footstep was louder as the security guard walked down the hallway, checking each office.",false,false,false,false,true,easy,everyday,"Literal - actual footsteps approaching"
9,9,figurative,"Memory is a fickle companion. One moment it shows you vivid scenes from your past, and the next it abandons you when you need it most.",false,false,false,true,false,hard,psychology,"Personification - memory as companion"
9b,9,literal,"My travel companion was fickle. One moment he wanted to visit museums, and the next he changed those plans to go to the beach instead.",false,false,false,false,true,easy,travel,"Literal - actual companion changing plans"
10,10,figurative,"The old house creaked and groaned in the wind. It was telling stories of generations past, whispering secrets only it remembered.",false,false,false,true,false,medium,everyday,"Personification - house as storyteller"
10b,10,literal,"The old man creaked and groaned as he stood up. He was telling stories of generations past and whispering details only he remembered.",false,false,false,false,true,easy,everyday,"Literal - person making sounds and telling stories"
